time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-12 00:00:00+00:00,0,0,13,7
2026-06-13 00:00:00+00:00,1,1,34,4
2026-06-14 00:00:00+00:00,0,0,8,3
2026-06-15 00:00:00+00:00,0,0,1,1
2026-06-16 00:00:00+00:00,38,20,16,4
2026-06-17 00:00:00+00:00,6,3,6,3
2026-06-18 00:00:00+00:00,3,2,12,3
2026-06-19 00:00:00+00:00,14,9,19,3
2026-06-20 00:00:00+00:00,2,2,3,2
2026-06-21 00:00:00+00:00,16,6,1,1
2026-06-22 00:00:00+00:00,46,4,4,3
2026-06-23 00:00:00+00:00,1,1,2,1
2026-06-24 00:00:00+00:00,0,0,4,1
2026-06-25 00:00:00+00:00,1,1,2,1
