url_path,views_total,views_unique
/ing-gom/sts2-card-advisor,108,64
/ing-gom/sts2-card-advisor/blob/main/README.ko.md,23,18
/ing-gom/sts2-card-advisor/releases,13,6
/ing-gom/sts2-card-advisor/releases/tag/v1.14.1,9,7
/ing-gom/sts2-card-advisor/issues,4,3
/ing-gom/sts2-card-advisor/releases/tag/v1.13.0,4,3
/ing-gom/sts2-card-advisor/blob/main/README.zh.md,3,2
/ing-gom/sts2-card-advisor/releases/tag/v1.15.4,3,2
/ing-gom/sts2-card-advisor/graphs/traffic,3,1
/ing-gom/sts2-card-advisor/projects,2,2
