time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-01 00:00:00+00:00,2,2,0,0
2026-07-02 00:00:00+00:00,1,1,3,2
2026-07-03 00:00:00+00:00,5,4,6,4
2026-07-04 00:00:00+00:00,1,1,15,5
2026-07-05 00:00:00+00:00,4,1,3,3
2026-07-06 00:00:00+00:00,0,0,0,0
2026-07-07 00:00:00+00:00,0,0,3,1
2026-07-08 00:00:00+00:00,0,0,4,3
2026-07-09 00:00:00+00:00,1,1,10,3
2026-07-10 00:00:00+00:00,0,0,17,4
2026-07-11 00:00:00+00:00,1,1,11,2
2026-07-12 00:00:00+00:00,1,1,13,3
2026-07-13 00:00:00+00:00,0,0,2,2
2026-07-14 00:00:00+00:00,20,13,3,2
