time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-02 00:00:00+00:00,6,4,7,6
2026-06-03 00:00:00+00:00,1,1,8,5
2026-06-04 00:00:00+00:00,2,2,4,3
2026-06-05 00:00:00+00:00,0,0,28,11
2026-06-06 00:00:00+00:00,17,10,44,23
2026-06-07 00:00:00+00:00,0,0,26,12
2026-06-08 00:00:00+00:00,0,0,11,8
2026-06-09 00:00:00+00:00,1,1,13,6
2026-06-10 00:00:00+00:00,3,1,11,5
2026-06-11 00:00:00+00:00,0,0,19,5
2026-06-12 00:00:00+00:00,14,7,13,6
2026-06-13 00:00:00+00:00,1,1,5,5
2026-06-14 00:00:00+00:00,9,3,3,3
2026-06-15 00:00:00+00:00,1,1,0,0
